"Cutthroat1"	"Bartuc's Cut-Throat"
"MercX156"	"Alcuin"
"MercX157"	"Emund"
"MercX158"	"Sigurd"
"MercX159"	"Gorm"
"MercX160"	"Hollis"
"MercX161"	"Ragnar"
"MercX162"	"Torkel"
"MercX163"	"Wulfstan"
"MercX164"	"Alban"
"MercX165"	"Barloc"
"MercX166"	"Bill"
"MercX167"	"Theodoric"
"r16"	"\purple;Runa Io"
"r16L"	"Io"
"r13"	"\purple;Runa Shael"
"r13L"	"Shael"
"r31"	"\purple;Runa Jah"
"r31L"	"Jah"
"DarkStalker"	"Dark Stalker"
"VileArcher"	"Vile Archer"
"Runeword22"	"Delirium"
"Whichwild String"	"Witchwild String"
"x"	"This application was installed using a Lord of Destruction CD Key which is not authorized for Battle.net use."
"x"	"The Lord of Destruction CD Key that you installed with has been disabled. Please contact Blizzard Entertainment Technical Support for further assistance."
"x"	"Your Lord of Destruction CD key is currently being used by:"
"x"	"The Lord of Destruction CD key used to install this application was intended for another product. Please reinstall this application using the correct CD key."
"Playersubtitles29"	"Odwrót!"
"AmaOnly"	"(Tylko dla Amazonki)"
"SorOnly"	"(Tylko dla Czarodziejki)"
"NecOnly"	"(Tylko Dla Nekromanty)"
"PalOnly"	"(Tylko dla Paladyna)"
"BarOnly"	"(Tylko dla Barbarzyńcy)"
"DruOnly"	"(Tylko dla Druida)"
"AssOnly"	"(Tylko dla Zabójczyni)"
"Chatcaps"	"CZAT"
"Newscaps"	"NEWSY"
"Laddercaps"	"RANKING"
"LaddeCharacter"	"POSTAĆ RANKINGOWA"
"x"	"Postać Rankingowa może grać tylko podczas Obowiązującego Sezonu.Jesli Sezon się skończy bohater przechodzi do statusu poza-rankingowego."
"x"	"Nie można dołączyć,stwórz postać rankingową aby mieć możliwość uczestnictwa w rozgrywkach sezonowych"
"x"	"Nie można dołączyć,stwórz postać poza-rankingową aby mieć możliwość uczestnictwa w rozgrywkach poza-sezonowych"
"Sksyn"	"Synergie"
"Damplev"	"% Obrażeń Fizycznych (Bazuje na Rozdanych Pkt.)"
"ElemDampLev"	"Obrażeń Żywiołów (Bazuje na Rozdanych Pkt.) "
"Firedplev"	"Obrażeń od Ognia na Poziom"
"Colddplev"	"Obrażeń od Zimna na Poziom"
"Ltngdplev"	"Obrażeń od Błyskawic na Poziom"
"Poisdplev"	"Obrażeń od Trucizn na Poziom"
"Magdplev"	"Obrażeń od Magii na Poziom"
"Rangplev"	"Metrów na Poziom"
"RateFireplev"	"Szybkostrzelności na Poziom"
"AttRateplev"	"Skuteczności Ataku na Poziom"
"AttSpeedplev"	"Szybkości Ataku na Poziom"
"Defplev"	"Obrony na Poziom"
"Manacoredplev"	"Koszt Many na Poziom"
"Missplev1"	"Pociski na Poziom"
"Missplev2"	"+1 Pocisk na Poziom"
"Missplev3"	"+1 Pocisk na %d Poziomy"
"Boltplev1"	"Pocisk na Poziom"
"Boltplev2"	"+1 Pocisk na Poziom"
"Boltplev3"	"+1 Pocisk na %d Poziomy"
"Shotplev1"	"Pocisk na Poziom"
"Shotplev2"	"+1 Pocisk na Poziom"
"Shotplev3"	"+1 Pocisk na %d Poziomy"
"Hpplev"	"Życie na Poziom"
"WRSpeedplev"	"Poruszanie na Poziom"
"Durateplev"	"Czas Trwania na Poziom"
"CoLenplev"	"Czas Trwania Zimna na Poziom"
"FrezLenplev"	"Czas Zamrożenia na Poziom"
"PoisLenplev"	"Czas Zatrucia na Poziom"
"Convphy2magplev"	"Zamienia %d%% Obrażeń Fizycznych na Magię za Poziom"
"Convphy2elemplev"	"Zamienia %d%% Obrażeń Fizycznych na Żywioły za Poziom"
"Convphy2magalt"	"Zamienia %d%% Obrażeń Fizycznych na Żywioły"
"Convphy2elemalt"	"Zamienia %d%% Obrażeń Fizycznych na Magię"
"Secplev1"	"S na Poziom"
"Secplev2"	"S na Poziom"
"Damabsplev"	"Zaabsorbowanych Obrażeń na Poziom"
"WeapDamsk"	"Obrażeń Broni"
"Hbdplev"	"Obrażeń Świętego Pocisku na Poziom"
"Healplev"	"Życia Uzupełnionego na Poziom"
"Healplev2"	"Życia Uzupełnionego co 2 S"
"FanYDam"	"Twoje Obrażenia: "
"PartDam"	"Obrażenia Drużyny: "
"AFDImm"	"Średnie Obrażenia od Ognia /s na Poziom"
"Cgslow"	"Spowalnia Wroga: "
"Corexpdam"	"Obrażenia od Wybuchu Zwłok: "
"ModitemAura"	"Zapewnia Poziom %d %s Aury"
"Moditem2allattrib"	"Do Wszystkich Atrybutów"
"Moditem2ExpG"	"do Zdobytego Doświadczenia"
"ModitemHPaK"	"Uzupełnienie Życia po Zabiciu"
"ModitemRedVendP"	"dla Cen u Kupców"
"ModitemSMRIP"	"Dusze Zmarłych Zostają Odkupione"
"ModitemAttratvsM"	"do Skuteczności Ataku przeciw"
"Moditemdamvsm"	"do Obrażeń przeciw"
"Moditemslayat"	"Zabijanie:"
"Moditemreanimas"	"Przywraca jako:"
"Moditemenrescoldsk"	"do Odporności Wroga na Zimno"
"Moditemenresfiresk"	"do Odporności Wroga na Ogień"
"Moditemenresltngsk"	"do Odporności Wroga na Błyskawice"
"Moditemenrespoissk"	"do Odporności Wroga na Trucizny"
"ModitemdamFiresk"	"do Obrażeń Czarów Ognia"
"ModitemdamColdsk"	"do Obrażeń Czarów Zimna"
"ModitemdamLtngsk"	"do Obrażeń Czarów Błyskawic"
"ModitemdamPoissk"	"do Obrażeń Czarów Trucizn"
"Moditemskondeath"	"%d%% Szansa na Czar Poziomu %d %s kiedy Umrzesz"
"ModitemskonLevel"	"%d%% Szansa na Czar Poziomu %d %s kiedy Awansujesz"
"ModitemskonKill"	"%d%% Szansa na Czar Poziomu %d %s po Zabiciu"
"Skillname224"	"Wilkołak"
"Skillsd224"	"zmieniasz się w wilkołaka"
"Skillld224"	"zmieniasz się w wilkołaka"
"Skillan224"	"Wilkołak"
"StrSkill43a"	" szkieletowy mag"
"StrSkill44a"	" szkieletowy magus"
"StrSklTabItem9"	"+%d do um.Przywołań"
"SOJSold"	"%d Kamieni Jordana sprzedanych kupcom"
"DiabloWalksEarth"	"Diablo Chodzi po Świecie"
"neg"	"Hellspawn Skull"
"TrappDoor"	"Drzwi z Pułapką"
"uhf"	"Legendary Mallet"
"skillxld124P"	"życie i manę od uwolnionej duszy\nuzupełniasz\nkiedy aktywna próbuje odkupić wrogów"
"7wa"	"Berserker Axe"
"skillld42"	"pobliskich wrogów\ntworzy elektryczne pole,które zmniejsza życie"
"xhg"	"War Gauntlets"
"Fiendra"	"Fiend"
"Wraithra"	"Wraith"
"Fiend"	"Fiend"
"Wraith"	"Wraith"
"D2bnetHelp10"	"\blue;Blue Text\gold; represents actions that have been taken by people in the chat Channel."
"ItemStats1r"	"Szansa na Blok: "
"x"	"Serwer jest Pełny"
"x"	"Nie można utworzyć gry,dołącz do innej lub spróbuj później."
"merca239"	"Jarulf"
"StrSkill63Patch"	"over "
"x"	"Stoisz w koljece do utworzenia gry.Dołącz do innej rozgrywki,jeśli nie chcesz czekać"
"X"	"Kolejka"
"x"	"Zbyt dużo gier zostało utworzonych,dołącz do którejś by zacząć rozgrywkę"
"x"	"Twoja pozycja w kolejce: "
"x"	"w Kolejce do gry"
"9bl"	"Stiletto"
"eats and spits corpses"	"Zjada i wypluwa zwłoki"
"qstsa2q63f"	"Przeszukaj Grobowiec Tal Rasha"
"Shocking Hit"	"Porażający Cios"
"ModStrCuck2"	"unused"
"ModStrCuck1"	"unused"
"ModStr3u"	"Trafienie zmusza wroga do ucieczki"
"ModStr4c"	"Bonus do Skuteczności Ataku"
"UNUSED1036"	"Spowalnia Wroga o"
"ModStr6f"	"Szansa na Przywrócenie"
"ModStr6d"	"Trafienie Oślepia"
"x"	"Wprowadź Adres IP aby Dołączyć do Gry"
"StrSkill61"	"Trafia Wielokrotnie"
"D2bnetHelp13c"	"/reply"
"D2bnethelp13d"	"Pozwala Ci odpowiedzieć bez wpisywania nazwy konta"
"D2bnetHelp52"	"/whisper, /msg, /reply"
"D2bnetHelp10a"	"\yellow; Yellow Text\gold; represents special messages sent directly from battle.net"
"BnetnewGameTime"	"Czas Gry:"
"D2bnetHelp12c"	"Jeśli używasz zaawansowanych komend możesz ich też używać w tym świecie, korzystając z imion."
"D2bnetHelp12d"	"musisz użyć nazw kont dla rozmów w battlenecie np podczas rozgrywek w inne gry"
"D2bnetHelp12b"	"Gdziekolwiek polecenie poniżej wymaga użycia <nazwakonta>,lub <nazwapostaci>, <nazwapostaci@Realm>, lub<*nazwakonta>."
"x"	"BRAMKA: %s"
"x"	"ZMIEŃ HASŁO"
"x"	"Zmień Hasło"
"x"	"Aktualne Hasło"
"x"	"Nowe Hasło"
"x"	"Zweryfikuj Nowe Hasło"
"x"	"WYBIERZ BRAMKĘ"
"x"	"Jeśli aktualna bramka nie repreztuje twojej lokalizacji, wybierz inne połączenie z bramką Battle.net"
"x"	"ZMIEŃ ŚWIAT"
"x"	"Aktualny Świat"
"x"	"Imię postaci '%s' już istnieje w tym świecie."
"D2bnetHelp6a"	"\dgrey;Gray Text\gold; also represents actions that have been taken by people in the chat Channel."
"D2bnetHelp10aPatch"	"\blue;Blue Text\gold; represents special messages sent directly from battle.net or messages from a Blizzard Representative."
"x"	"SEND"
"x"	"OSTRZEŻENIE HASŁA"
"x"	"Nie Wysyłaj nigdy nikomu Twojego Hasła"
"x"	"ŁĄCZENIE..."
"x"	"ŚWIAT UPADŁ"
"x"	"Więcej..."
"x"	"Możesz mieć więcej niż 8 bohaterów w tym Świecie,jednak podejrzeć możesz maks. 8"
"x"	"Aby zobaczyć więcej bohaterów musisz kilku usunąć Permanetnie"
"X"	"Regulamin"
"X"	"Logując się certyfikujesz że przeczytałeś i wyrażasz zgodę z obowiązującym regulaminem"
"x"	"%0 %1"
"GemXp1"	"Rękawice, Pasy, Buty:"
"GemXp2"	"Tarcze:"
"GemXp3"	"Bronie:"
"GemXp4"	"Zbroja:"
"expansionchar2x"	"POSTAĆ Z ROZSZERZENIA"
"x"	"Missing string"
"EskillLowersResistX"	"Obniża Odporności"
"ExInsertSocketsX"	"Może być umieszczony w Przedmiotach z Gniazdem"
"EskillToMeleeX"	" do Ataków w Zwarciu"
"eskillincasemasteryX"	"%d Szansy na Trafienie Krytyczne"
"CfgSay7X"	"Powiedz 'Odwrót'"
"champghostlyX"	"Ghostly"
"champfanaticX"	"Fanatic"
"champpossessedX"	"Possessed"
"champberserkX"	"Berserker"
"PalMercExST1X"	"Shapeshifter"
"PalMercEXST3X"	"Fighter Mage"
"PalMercEXST4X"	"Exemplar"
"increaseswithplaylevelX"	"(Zależy od Poziomu Postacil)"
"RankX"	"Ranga"
"x"	""
"x"	"Wpisanie Twojego emaila zwiększa możliwości konta.Kiedy zapomnisz hasła bęzdziesz w stanie je odzyskać. Odwiedź median-xl.com po więcej informacji\n"
"x"	"Adres Email:"
"x"	"Zweryfikuj Adres Email:"
"x"	"ZAREJESTRUJ"
"x"	"ODRZUĆ REJESTRACJĘ"
"x"	"Upewnij się że wpisane adresy email są identyczne"
"x"	"Nieprawidłowy Adres Email"
"x"	"Wpisany adres email jest nieprawidłowy,spróbuj ponownie"
"x"	"Beż zarejestrowanego adresu email nie będziesz w stanie odzyskać konta oraz nie będziemy Ci w stanie pomóc."
"x"	"Jeśli zapomniałeś/aś hasła możesz wysłać prośbę o zresetowanie.Upewnij się że ten adres email jest zarejestrwowany."
"x"	"Twoja prośba została wysłana wraz z instrukcjami na podany adres email podczas rejestracji."
"x"	"KONTYNUUJ"
"x"	"Zapomniałeś/aś Hasła? Kliknij w 'Ustawienia Konta'."
"x"	"Możesz stworzyć łatwiejsze hasło poprzez zakładkę "
"x"	"USTAWIENIA KONTA"
"x"	"Ustawienia Konta"
"x"	"Jeśli znasz swoje hasło i chciałbyś je zmienić, Kilknij Tutaj"
"x"	"Jeśli nie pamiętasz hasła lub nie działa, Kliknij Tutaj"
"DAntlers (Grade 6)"	"Jeśli chcesz zmienić zarejestrowany email, Kilknij Tutaj"
"DAntlers (Sacred)"	"STWÓRZ NOWE HASŁO"
"DAspis (Grade 1)"	"Stwórz Nowe Hasło"
"DAspis (Grade 2)"	"ZMIEŃ EMAIL"
"DAspis (Grade 3)"	"Zmień Email"
"DAspis (Grade 4)"	"Stary Adres Email:"
"DAspis (Grade 5)"	"Nowy Adres Email:"
"DAspis (Grade 6)"	"Zweryfikuj Nowy Adres Email:"
"DAspis (Sacred)"	"Jeśli zarejestrowałeś/aś adres e-mail dla tego konta, możesz go tutaj zmienić. Pamiętaj, że oba adresy e-mail muszą być aktywne, aby można było wprowadzić tę zmianę."
"DAssault Helmet (Grade 1)"	"Wpisane adresy są identyczne,proszę podać inne"
"DAssault Helmet (Grade 2)"	"Sprawdź czy prawidłowo są wpisane nowe adresy email"
"DAssault Helmet (Grade 3)"	"Wieści Battle.net"
"DAssault Helmet (Grade 4)"	"Last Difficulty Setting Completed:"
"DAssault Helmet (Grade 5)"	"Żaden"
"DAssault Helmet (Grade 6)"	"WEJDŻ NA CZAT"
"DAssault Helmet (Sacred)"	"\nwww.median-xl.com\n"
"DAthulua's Hand (Grade 1)"	"Zbyt Łatwe Hasło"
"DAthulua's Hand (Grade 2)"	"Twoje hasło jest zbyt Łatwe,spróbuj proszę innego."
"DAthulua's Hand (Grade 3)"	"OSTRZEŻENIE"
"DAthulua's Hand (Grade 4)"	"Nie możesz dzielić się swoim kluczem gry z innym oraz podawać go komukolwiek.Blizzard nigdy o niego nie zapyta."
"DAthulua's Hand (Grade 5)"	"Przedawni się Dziś"
"DAthulua's Hand (Grade 6)"	"Przedawni się za %d dni"
"DAthulua's Hand (Sacred)"	"RIP"
"DAvenger Guard (Grade 1)"	""
"DAvenger Guard (Grade 2)"	""
"DAvenger Guard (Grade 3)"	""
"DAvenger Guard (Grade 4)"	""
"DAvenger Guard (Grade 5)"	""
"DAvenger Guard (Grade 6)"	""
"DAvenger Guard (Sacred)"	""
"DBanded Plate (Grade 1)"	""
"DBanded Plate (Grade 2)"	"Jeśli chcesz zachować postać loguj się do gry.Postać Nie zostanie usunięta z serwera przez 6 miesięcy od ostatniego logowania"
"DBanded Plate (Grade 3)"	"Postać zostanie usunięta po przedawnieniu"
"DBanded Plate (Grade 4)"	"Twoja postać '%s' nie była odwiedzana i została usunięta"
"DBanded Plate (Grade 5)"	"\red;Devouring Banded Plate"
"DBanded Plate (Grade 6)"	"\red;Devouring Banded Plate"
"DBanded Plate (Sacred)"	"\red;Devouring Banded Plate"
"DBelt (Grade 1)"	"\red;Devouring Belt"
"DBelt (Grade 2)"	"\red;Devouring Belt"
"DBelt (Grade 3)"	"\red;Devouring Belt"
"DBelt (Grade 4)"	"\red;Devouring Belt"
"DBelt (Grade 5)"	"\red;Devouring Belt"
"DBelt (Grade 6)"	"\red;Devouring Belt"
"DBelt (Sacred)"	"\red;Devouring Belt"
"DBlackguard Helm (Grade 1)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 2)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 3)"	"do Umiejętności Zabójczyni"
"DBlackguard Helm (Grade 4)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 5)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 6)"	"Twój klucz został zablokowany w tym świecie."
"DBlackguard Helm (Sacred)"	"Twoje połączenie zostało zawiezone tymczasowo w tym świecie.Spróbuj innym razem"
"toa"	"\orange;Belladonna Extract"
"DBladed Shield (Grade 2)"	"Twisted Essence of Suffering"
"DBladed Shield (Grade 3)"	"Charged Essence of Hatred"
"DBladed Shield (Grade 4)"	"Burning Essence of Terror"
"DBladed Shield (Grade 5)"	"Poziom Przedmiotu"
"DBladed Shield (Grade 6)"	"Zwraca punkty Atrybutów i Umiejętności"
"DBladed Shield (Sacred)"	"\red;Devouring Bladed Shield"
"x"	"-- BEGIN SIGMA CORE --"
"x"	"The following lines are hardcoded -- Marco"
"x"	"Ustawienia"
"x"	"Zapisz i Wyjdź"
"x"	"Wznów"
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	"-- END 1.1 --"
"x"	"%ls do zablokowania poziomu\nRozpoczęto nowe zadanie"
"Rusted"	"Zardzewiały"
"x"	"(Wymaga Poziomu: %d)"
"Used"	"Zużyty"
"x"	"%s:  Wejście jest zapieczętowane."
"x"	"%s:  %s dołączył/a do zadania."
"x"	"Wyjście z Zadania"
"LegionX"	"Legion"
"EternalVigil"	"Eternal Vigil"
"TerrQ"	"Terror"
"Leviath"	"Leviathan"
"Peace"	"Peace"
"Mana"	"Mana"
"ZakQ"	"Zakarum"
"DrQ"	"Dragon"
"boxX"	"Box"
"barrelX"	"Barrel"
"spines"	"Spines"
"slammer"	"Slammer"
"prophetX"	"Prophet"
"charmX"	"Charm"
"strBodyLocItemHead"	"Hełm"
"strBodyLocItemNeck"	"Naszyjnik"
"strBodyLocItemTorso"	"Zbroja"
"strBodyLocItemRArm"	"Przedmiot w Prawej Ręce"
"strBodyLocItemLArm"	"Przedmiot w Lewej Ręce"
"strBodyLocItemRRin"	"Pierścień Prawej Ręki"
"strBodyLocItemLRin"	"Pierścień Lewej Ręki"
"strBodyLocItemBelt"	"Pas"
"strBodyLocItemBoots"	"Buty"
"strBodyLocItemGloves"	"Rękawice"
"strBodyLocItemRArmSwitch"	"Zapasowy Przedmiot w Prawej Ręce"
"strBodylocItemLArmSwitch"	"Zapasowy Przedmiot w Lewej Ręce"
"strDurabilityWarningBroken"	" Zepsuty"
"strDurabilityWarningCritical"	" Poważnie Uszkodzony"
"strDurabilityWarningDamaged"	" Uszkodzony"
"strRaidNotif"	"zadanie o Nazwie \orange;%S\gold;\nWyprawę, dołącz do gry o nazwie\nAktywowano"
"strRaidNotifOwnGame"	"w tej grze.\nAktywowano Wyprawę"
"StrAmmoWarningOutOfAmmo"	"Skończyła ci się amunicja"
"StrAmmoWarningCritical"	"Twoja amunicja się kończy"
"StrAmmoWarningWarn"	"Masz mało amunicji"
"StrLevelUpNotif"	"Nowy Poziom"
"StrStatPointsNotif"	"Atrybuty do Rozdania"
"StrSkillPointsNotif"	"Umiejętności do Rozdania"
"StrQuestUpdateNotif"	"Poczyniłeś/aś postęp w zadaniu"
"StrCfgTabHotkey"	"Ustawienia\nSkróty Klaw."
"StrCfgTabNotif"	"Ustawienia\nPowiadomienia"
"StrCfgTabDisplay"	"Ustawienia\nInterfejs"
"StrCfgTabVideoSound"	"Ustawienia\nObraz i Dźwięk"
"StrDisplayAlvl"	"Poziom Obszaru: "
"x"	"Warp Blade"
"CfgNoPickup"	"Toggle item pickup"
"CfpMapReveal"	"Odkryj Drogę"
"CfgNotifNewArea"	"Wejście"
"CfgNotifDurability"	"Gear durability decay"
"CfgNotifAmmo"	"Amunicja zbliża się do końca"
"CfgNotifGold"	"Zyskujesz i tracisz złoto"
"CfgNotifLevelUp"	"Nowy Poziom"
"CfgNotifNewStats"	"Atrybuty do Rozdania"
"CfgNotifNewSkills"	"Umiejętności do Rozdania"
"CfgNotifActiveBuffs"	"Aktywne okrzyki i klątwy"
"CfgNotifRealmWhispers"	"Pokazuj aktywność znajomych"
"CfgDisplayHp"	"Zawsze pokazuje punkty życia"
"CfgDisplayMp"	"Zawsze pokazuje punkty many"
"CfgDisplayGameTime"	"Czas spędzony w grze z użytą automapą"
"CfgDisplayIlvl"	"Pokazuje poziom przedmiotu"
"CfgDisplayGameName"	"Nazwa gry z użytą automapą"
"CfgDisplayGamePwd"	"hasło do gry z używaną automapą"
"CfgDisplayAlvl"	"Poziom obszaru z używaną automapą"
"CfgVolume"	"Głośność Rozgrywki"
"CfgMusicVolume"	"Głośność Muzyki"
"CfgContrast"	"Kontrast"
"CfgGamma"	"Gamma"
"x"	"+20% Mniejszych Ran do um. Tarcza Many"
"x"	"Samozapłon pozostaje bez zmian przy rzuceniu\n+3 s do czasu trwania wzmocnienia um. Pieczeń"
"x"	"um. Pogaństwo uzupełnia też Manę"
"x"	"um. Bestia dodaje Zabójczy Cios zamiast Obrażenia Czarów"
"x"	"+30% Szansy Przebicia do um. Synapsa"
"x"	"50% mniej utraconych noży z um. Salwa Ostrzy przy Ciosu"
"x"	"um. Postawa Lwa Nie zmniejsza Twoich Ran Fizycznych"
"x"	"+40% Szansy Przebicia do um. Oko Burzy"
"x"	"+400% Obrażeń Ognia do um. Koloseum"
"x"	"+2 Dodatkowe Pociski do um. Cmentarz"
"x"	"Ragnarok"
"x"	"Bonus do Atrybutów w Smoczej Formie jest zmniejszony Połowę"
"x"	"Tarcza Many: 33% Mniej Spalonej Many przy otrzymaniu Ciosu"
"x"	"Tarcza Many: 95% Mniej Spalonej Many przy otrzymaniu Ciosu"
"x"	"czas wzmocnienia do um. Księżycowy Promień jest podwojony"
"x"	"50% twoich Obrażeń Czarów Ognia i Trucizn jest dodane jako Bonus do Obrony"
"UNUSED"	"+1000% Obrażeń do um. Piorunująca Arena"
"StrCfgAssignHotkey"	"lub Naciśnij jakikolwiek klawisz aby przypisać\nNaciśnij DEL aby odmapować klawisz\nNaciśnij Esc aby przerwać"
"x"	"Nie zadajesz obrażeń od Ognia,Błyskawic i Trucizn\n160% Pkt.Żywotności Dodane jest od Obrażeń Zimna do Broni"
"x"	"Bezlitosna Zima"
"x"	"Jeśli masz conajmniej 1000 Siły to odrzucasz wrogów atakami"
"x"	"''Wiedza to Potęga''"
"x"	"+3% Obrażeń Czarów za 1% Dodatkowego Zdobytego Doświadczenia"
"x"	"+100% Obrażeń Magii do um. Deszcz Głazów\n+400% Obrażeń Magii du um. Grzmotnięcie\n+300% Obrażeń Magii do um. Trzęsienie Ziemi\n\orange;Jeśli nie masz rozdanych pkt w umiejętnościach linii Postawy:"
"x"	"\red;Deathlord Morph\n\orange;Parasite Gains 12 Additional Targets"
"x"	"um. Płaszcz Płomieni posiada dwukrotność Kul Ognistych"
"x"	"um. Ognisty Taniec zapewnia 1% Zabójczego Ciosu (Bazuje na Rozdanych Pkt.)"
"x"	"Bóstwo Scosglen nie ma Przygotowania"
"1288"	"+15% Całkowitych Obrażeń Żywiołów"
"1289"	"+10% Całkowitych Obrażeń Żywiołów"
"x"	"um. Sięgnięcie Many: +15% Całkowitych Obrażeń, Nie Kradnie Many"
"x"	"+40% Szansy Przebicia do um. Forteca"
"x"	"+60% Szansy Przebicia do um. Forteca"
"x"	"Celeri Caelesti Iustitia"
"11294"	"20% Odporności na Błyskawice zostaje dodane jako Obrażenia Czarów Błyskawic"
"x"	"Powyżej 120 Poziomu, Odporność Fizyczna +15%\nPoniżej 120 Poziomu, +25% do Zdobytego Doświadczenia"
"x"	"Transformacja w Drzewca"
"x"	"+100% Obrażeń od Błyskawic do um. Wielki Huk"
"x"	"\dgrey;+10% do Obrażeń Czarów Fizycznych i Magicznych\n+15 Udziału Siły w Obrażeniach Czarów\n+15 Udziału Energii w Obrażeniach Czarów\n+25% Do Całkowitej Obrony\n+10 Uzupełnienia Życia po Zabiciu\n+0.9 do Wszystkich Umiejętności\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"x"	"+300% Obrażeń do Zakarum"
"x"	"\dgrey;+20% do Odporności na Żywioły\n+0.75% Bazowej Szansy Bloku\n+1 do Wszystkich Umiejętności\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"x"	"Worship the Crack Monkeys!"
"x"	"Włożone Skarby Zostają na Zawsze"
"x"	"Pali 2% Życia /s"
"x"	"+1 um Natrętna Zjawa/Pocisk Żywiołów\nPali 2% zycia /s"
"x"	"+1 Natrętna Zjawa/Pocisk Żywiołów"
"x"	"+2 Pociski od um.Natrętna Zjawa\n\orange;Wezwanie Żywiołów"
"x"	"+3 Pociski Żywiołów\n\orange;Wezwanie Natrętnej Zjawy"
"x"	"Losowa Odporność na Żywioł"
"x"	"Losowy Bonus Poruszania"
"x"	"+3 Pociski do um. Nawałnica"
"x"	"+150% Całkowitych Obrażeń Pumy"
"x"	"+20 do Maksymalnego Poziomu um. Puma"
"x"	"Zapewnia 10-Poziomową Aurę z um.Nefalema"
"x"	"+300% Bonus Obrażeń Magii do um. Bojowy Taniec"
"x"	"+1% Odporności Fizycznej za 18% Uzupełniania Many"
"x"	"+1% Obrażeń Czarów Fizycznych i Magii na 10 Pkt. Żywotności\n+1% Całkowitej Obrony na 10 Pkt. Zręczności"
"x"	"Połącz z Runą Aby Otworzyć Time Rift\n"
"x"	"-5% Zabójczy Cios na 1% Szybkości Ataku\n+400% Zabójczy Cios"
"x"	"+150% Bonus Obrażeń Ognia do um. Pierścieniowy Ogień"
"11320"	"Nie Można Ulepszyć"
"11321"	"+50% Szansy Przebicia do um. Synapsa"
"11322"	"+25% Obrażeń Magicznych do um. Wirujący Pocisk vI"
"11323"	"-1% Obrażeń Czarów Zimna na 1 Promień Światła\n+3% Obrażeń Czarów Ognia na 1 Promień Światła\n+4 Udziału Energii na 1 Promień Światła"
"11324"	"Zapewnia 20-poziomową um. Postawa Orła\n+2 Pociski do um. Synapsa"
"11325"	"Zapewnia 10-poziomową um. Postawa Wilka"
"11326"	"150% Obrażeń Czarów Fizycznych i Magicznych jako Bonus Obrażeń Fizycznych do Broni\n150% Obrażeń Czarów Ognia jako Bonus Obrażeń Fizycznych do Broni"
"11327"	"-1% do Odporności Wroga na Trucizny za 25 Pkt. Siły"
"11328"	"\dgrey;150-300 Obrażeń Ognia\n+30% Szybkości Ataku\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"11329"	"+50% Wydłużony czas um. Pulsacja Many"
"11330"	"150% Druzgocącego Uderzenia dodane jako Obrażenia Czarów Ognia i Zmna"
"11331"	"+100% Obrażeń Błyskawic do um. Żelazna Spirala"
"11332"	"um. Tarcza Błyskawic dodaje 15 - 25 Obrażeń Błyskawic na Poziom\nNova um. Bóg Grzmotów Zadaje 5000 Obrażeń Błyskawic\n+1 Pocisk do um. Grom"
"11333"	"0.7% Obrażeń od um. Osobliwość zostaje Uzupełnione jako Życie\n+3 dodatkowe Cele do um. Naczynie Sprawiedliwości"
"11334"	"+1% Zabójczy Cios za 6% Obrażeń Czarów Ognia\nCałkowita Obrona Zmniejszona o 25%"
"11335"	"+100% Obrażeń Magii do um. Wdowiec\n+50% Kradzieży Życia do um. Odłamki Śmierci"
"11336"	"+3 ładunków do um. Magiczne Pociski"
"11337"	"Zapewnia 1-poziomową Aurę Demoniczna Krew"
"11338"	"Umiejętności Korzystają z Życia zamiast Many"
"11339"	"\dgrey;-10% do Odporności Wroga na Trucizny\n+30 Uzupełnia Życie po Zabiciu\n+2.5% Odporności Fizycznej\n+1 to Wszystkich Umiejętności\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"11340"	"0.7% Obrażeń od um. Naczynie Zemsty zostaje Uzupełnione jako Życie"
"11341"	"+750 Obrażen Ognia do Głównego wystrzału um. Królowa Ostrzy"
"11342"	"-10% Enhanced Weapon Damage per 1% Crushing Blow"
"11343"	"+3% Obrażeń od um Postawa Krakena za pkt w um. Linii Honor (Bazuje na Rozdanych Pkt.)"
"11344"	"Nie Zadajesz Obrażen od Żywiołów i Magii"
"11345"	"Nie Lękaj się Zła"
"11346"	"50% Całkowitej Obrony zostaje dodane jako Bonus do Zywotności"
"11347"	"\dgrey;+600 Udziału Siły w Obrażeniach Czarów\n+600 Udziału Energii w Obrażeniach Czarów\n+25% Odporności Fizycznej\n+33% Zabójczy Cios\n+100% Odnajdywania Skarbów\n+50% Szybkości Czarowania\n\orange;Jeśli Nie masz Rozdanych Pkt.w Um. Wspomnień:"
